Prot_1,Prot_2
SP1,RELA
SP1,STAT3
TXNIP,IL12RB1
PTPN11,STAT3
PTPN11,STAT1
CXCL1,RELA
IL18RAP,IL18
IL18RAP,IL18R1
STAT6,STAT3
ALOX12B,NFKB1
SPSB1,NOS2
IL23A,IL12B
IL23A,IL23R
IL23A,RELA
IL24,PIK3CA
IL12RB1,IL12B
NR4A1,STAT3
IRF1,STAT3
IRF1,STAT1
IRF1,RELA
IRF9,STAT1
PIK3CA,PIK3R1
IRF7,STAT1
ZNF557,STAT3
IL17RA,IL17F
IL17RA,IL17A
SPTB,STAT1
PRKCZ,RELA
UBE2F,STAT1
IL6,RELA
IL2,IL17A
NFKBIA,RELA
NFKBIA,NFKB1
REL,RELA
CA8,STAT3
PAFAH1B2,STAT3
NOS2,RELA
IL12B,IL23R
IL12B,RELA
MAPKAPK2,STAT3
PIK3R1,JAK2
PIK3R1,CD3E
PIK3R1,STAT3
RELA,SOCS3
RELA,NR3C1
RELA,AHR
RELA,EGR1
RELA,FOS
RELA,STAT3
RELA,NFKB1
RELA,IRF4
RELA,GTF2B
RELA,TNF
RELA,PPARD
HIF1A,STAT3
SOCS3,JAK2
STAT5A,JAK2
IL18,IL18R1
CIITA,STAT1
IRF4,STAT4
DNMT1,STAT3
BPIFB3,STAT1
JAK2,STAT3
JAK2,STAT1
PPARD,STAT3
IL17F,IL17RC
IL17F,IL17A
ATF3,STAT3
PARP9,STAT1
NCOA1,STAT3
NR3C1,STAT3
GBP1,STAT1
STAT3,ZNF281
STAT3,STAT1
STAT2,STAT1
